Title,Artist,Album,Track,Year,Length,Size,Last Modified,Path,Filename,Genre
"Italian Concerto in F Major, BWV971 2. Andante",Bach,Big Bach Set,68,2012,297,7.69 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"68 Italian Concerto in F Major, BWV971 2. Andante.mp3",Classical
"Concerto for Four Harpsichords in A Minor, BWV 1065 III. Allegro",Bach,Big Bach Set,60,2012,298,8.78 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"60 Concerto for Four Harpsichords in A Minor, BWV 1065 III. Allegro.mp3",Classical
Mass in B Minor - Qui Sedes,Bach,Big Bach Set,10,2012,299,8.55 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,10 Mass in B Minor - Qui Sedes.mp3,Classical
"Concerto for Two Harpsichords in C Minor, BWV 1060 II. Adagio",Bach,Big Bach Set,44,2012,300,8.32 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"44 Concerto for Two Harpsichords in C Minor, BWV 1060 II. Adagio.mp3",Classical
"Concerto for Two Harpsichords in C Minor, BWV 1062 III. Allegro assai",Bach,Big Bach Set,51,2012,303,8.83 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"51 Concerto for Two Harpsichords in C Minor, BWV 1062 III. Allegro assai.mp3",Classical
"Concerto for Three Harpsichords in D Minor, BWV 1063 I. Allegro",Bach,Big Bach Set,52,2012,304,8.92 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"52 Concerto for Three Harpsichords in D Minor, BWV 1063 I. Allegro.mp3",Classical
"Concerto for Two Harpsichords in C Minor, BWV 1060 I. Allegro",Bach,Big Bach Set,43,2012,306,8.43 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"43 Concerto for Two Harpsichords in C Minor, BWV 1060 I. Allegro.mp3",Classical
"Brandenburg Concerto No. 4 in G Major, BWV1049 iii. Presto",Bach,Big Bach Set,112,2012,307,8.09 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"112 Brandenburg Concerto No. 4 in G Major, BWV1049 iii. Presto.mp3",Classical
"Harpsichord Concerto No. 4 in A Major, BWV 1055 II. Larghetto",Bach,Big Bach Set,38,2012,313,9.05 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"38 Harpsichord Concerto No. 4 in A Major, BWV 1055 II. Larghetto.mp3",Classical
"Brandenburg Concerto No. 2 in F Major, BWV1047 i. Allegro moderato",Bach,Big Bach Set,105,2012,314,8.74 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"105 Brandenburg Concerto No. 2 in F Major, BWV1047 i. Allegro moderato.mp3",Classical
Mass in B Minor - Laudamus Te,Bach,Big Bach Set,6,2012,319,9.04 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,06 Mass in B Minor - Laudamus Te.mp3,Classical
Mass in B Minor - Quoniam Tu Solus Sanctus,Bach,Big Bach Set,11,2012,321,9.02 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,11 Mass in B Minor - Quoniam Tu Solus Sanctus.mp3,Classical
Mass in B Minor - Et In Unum Dominum,Bach,Big Bach Set,15,2012,330,9.72 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,15 Mass in B Minor - Et In Unum Dominum.mp3,Classical
Mass in B Minor - Agnus Dei,Bach,Big Bach Set,27,2012,334,9.43 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,27 Mass in B Minor - Agnus Dei.mp3,Classical
"Brandenburg Concerto No. 5 in D Major, BWV1050 iii. Allegro",Bach,Big Bach Set,115,2012,337,9.20 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"115 Brandenburg Concerto No. 5 in D Major, BWV1050 iii. Allegro.mp3",Classical
"Brandenburg Concerto No. 6 in B-flat Major, BWV1051 iii. Allegro",Bach,Big Bach Set,118,2012,339,8.85 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"118 Brandenburg Concerto No. 6 in B-flat Major, BWV1051 iii. Allegro.mp3",Classical
"Brandenburg Concerto No. 5 in D Major, BWV1050 ii. Andante",Bach,Big Bach Set,114,2012,343,9.39 MB,4/15/2012,D:\Music Library\Music (VBR)\Bach\Big Bach Set\,"114 Brandenburg Concerto No. 5 in D Major, BWV1050 ii. Andante.mp3",Classical
